id,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr,attr9,Class
ee6a3485-1489-4d76-85a0-59b7a118050a,50,21,77,0,28,0,27,48,22,1
9c41e5a3-ccf7-4c40-b63f-7480537a4d2b,53,0,82,0,52,-5,29,30,2,0
2c441dba-7342-4ee6-a6a2-08c1fa23156e,37,0,76,0,28,18,40,48,8,0
e5756dbc-585d-4cac-927d-675a7200a8b5,37,0,79,0,34,-26,43,46,2,0
42d0df56-8a1b-4fab-9d7e-f8a8c95d8498,85,0,88,-4,6,1,3,83,80,1
c865f350-5ef7-4d87-b8fc-f2ec8f3ffe4b,55,-1,95,-3,54,-4,40,41,2,0
126ccaca-340b-4b89-8f79-bf52294b04bf,37,0,101,-7,28,0,64,73,8,0
ce6d3573-5b6a-4df8-94e3-4bba3b3f3ec8,37,0,78,-2,12,0,42,65,24,0
6587bed5-3c7e-4f4a-9f76-00cc9f057082,45,0,84,0,46,20,38,37,0,0
cfebe03d-6696-4197-9cb7-04a6c6f1c8f2,38,2,77,0,38,7,39,38,0,0
ae4a5369-87a0-4458-99e7-bbcefb10d509,37,0,78,0,-2,5,41,81,40,0
44eb1826-ebca-4cae-8901-df708e6a2e8b,41,0,100,0,38,-8,59,61,2,0
eed190da-6b26-4991-8fba-3462d1454bf2,41,0,89,1,38,-16,48,50,2,0
5a303fc6-392c-4913-827a-fe7b5ac95fd9,47,0,85,-2,46,-4,38,39,0,0
794f87cb-8df1-421d-97bc-01f52c57ffe6,49,0,79,0,46,-5,30,32,2,0
50abcc30-5cbd-472e-8916-1b5575d18327,49,3,82,0,50,4,33,33,0,0
46f6596c-7023-4af1-a7dd-66e76c0f4e71,37,-318,105,-2,36,-4,68,69,0,0
49b0b927-9e7e-4d99-b614-252729884448,44,3,77,0,44,2,33,33,0,0
187ba1bc-b164-4708-9f20-22f3a40af1f6,106,2,108,0,70,0,1,38,36,1
3d0a4929-2d6d-4cbb-b284-057ae6f3c1f6,37,-5,76,0,28,0,40,48,8,0
56cdc759-8427-426f-94a5-f6ff6baa336f,49,0,100,0,50,19,52,51,0,0
