id,ia,distance,data,tipo
01eb5dbe-72f8-4a33-a090-0c3be76157fb,41.84,"[0.1986,0.3383,0.5935,0.3688,0.2105,0.2611,0.2496,0.3004,0.4873,0.5061,0.4873,0.2173,0.3719,0.2771,0.2889,0.2488,0.3946,0.6424,0.4069,0.5354,0.1987,0.4715,0.2402,0.526,0.4312,0.4004,0.121,0.2463,0.1451,0.1676,0.2513,0.4279,0.4888,0.1743,0.3096,0.2932,0.1962,0.2759,0.4034,0.2806,0.3438,0.5542,0.6444,0.515,0.5356,0.3902,0.3831,0.3213,0.8217,0.7423,0.3786,0.3932,0.6607,0.4795,0.3047,0.8541,0.484,1.0843,0.3207,0.53,0.5607,0.3396,0.4238,0.7331,0.5116,0.5272,0.3938,0.7215,0.2799,0.0759,0.1776,0.5784,0.5732,0.3208,0.4223,0.5182,0.6419,0.3578,0.6217,0.5553,0.5202,0.3538,0.5492,0.4145,0.3934,0.3539,0.5442,0.4335,0.6345,0.2372,0.4056,0.3755,0.3937,0.3117,0.3148,0.561,0.2836,0.2549,0.6342,0.3654]","[-0.12416,-0.40384,0.21984,0.87886,-0.37787,1.1263,0.0]",normal
0633c887-a633-4481-a94e-4dbdb5811cc2,37.22,"[0.3442,0.4871,0.5565,0.3663,0.5579,0.3898,0.1528,0.4228,0.3484,0.4131,0.2922,0.1863,0.4765,0.263,0.3045,0.5736,0.2046,0.3195,0.3474,0.249,0.5126,0.3444,0.18,0.4378,0.3419,0.2435,0.2952,0.4401,0.2572,0.1678,0.194,0.3249,0.3075,0.401,0.4203,0.31,0.3683,0.2601,0.4982,0.4448,0.2223,0.4489,0.5257,0.358,0.7136,0.4321,0.5366,0.2948,0.3111,0.2354,0.3275,0.4375,0.3744,0.278,0.4629,0.2626,0.4475,0.2069,0.3321,0.3464,0.4338,0.3854,0.3372,0.2226,0.6373,0.6438,0.4599,0.5545,0.3796,0.3919,0.3411,0.4014,0.3558,0.2098,0.1173,0.5119,0.199,0.2526,0.4411,0.3555,0.4364,0.2369,0.3925,0.3176,0.4898,0.1879,0.3098,0.5042,0.5572,0.2521,0.3288,0.665,0.5701,0.6468,0.6131,0.3564,0.2918,0.4082,0.3617,0.1008]","[0.0035546,-0.43481,-0.1859,1.0008,-0.37787,1.233,0.0]",normal
06b42b9c-fb95-4343-b175-1c8d96709819,56.87,"[0.577,0.5315,0.1569,0.6044,0.4217,0.4109,0.316,0.2108,0.3147,0.6677,0.1325,0.6287,0.5944,0.5368,0.8254,0.468,0.5226,0.3624,0.605,0.5969,0.3479,0.3464,0.6207,0.5028,0.5633,0.7777,0.6382,0.7091,0.2163,0.1893,0.5699,0.2593,0.9739,0.5096,0.7741,0.4906,1.0757,1.0083,0.5321,0.3482,0.3602,0.5905,0.4576,0.4555,0.7257,0.8582,0.7873,0.8036,0.4362,0.2992,0.2361,0.3685,0.5582,0.864,0.5738,0.7482,0.7908,0.4886,0.3521,0.631,0.5698,0.9926,0.5745,0.3268,0.7716,0.7714,0.4603,0.9362,0.5354,0.7788,0.3943,0.7071,0.7839,0.8785,0.3944,0.5454,0.6953,0.8341,0.3041,0.4903,0.4607,0.585,0.8791,0.3097,1.0808,0.489,0.5025,0.4112,0.8191,0.4976,0.6989,0.55,0.4406,0.6296,0.9421,0.3225,0.5489,0.6256,0.5759,0.4367]","[-0.43379,-0.43923,0.17476,0.34004,-0.37787,0.69362,0.0]",normal
08263df8-c10f-4405-bd00-37e1356487ae,45.92,"[0.2461,0.5803,0.2571,0.5863,0.4695,0.4275,0.4955,0.6573,0.306,0.3093,0.4647,0.4721,0.3832,0.5618,0.1852,0.5065,0.5727,0.4352,0.3391,0.4352,0.2865,0.5757,0.3971,0.606,0.133,0.4606,0.3405,0.5505,0.5128,0.1664,0.3145,0.2813,0.2898,0.2379,0.3119,0.4495,0.1991,0.5311,0.2193,0.2667,0.5304,0.8372,0.398,0.3461,0.3827,0.4612,0.3269,0.4228,0.7271,0.4167,0.474,0.379,0.5195,0.4931,0.5151,0.742,0.4937,0.5429,0.309,0.1521,0.3785,0.4635,0.7472,0.3773,0.4095,0.431,0.3885,0.7848,0.3492,0.4567,0.4993,0.5567,0.5489,0.376,0.6715,0.3216,0.4856,0.7439,0.8052,0.34,0.4463,0.4627,0.4822,0.5679,0.5481,0.3558,0.417,0.7059,0.5771,0.3931,0.6166,0.6011,0.5638,0.3475,0.6314,0.4834,0.7324,0.5564,0.8611,0.1455]","[0.22375,-0.4525,-0.23098,0.82907,-0.37787,0.91301,0.0]",normal
094e4d3a-2f22-4704-9839-d572d2cdcc86,56.06,"[0.7731,0.495,0.4379,0.46,0.2909,0.3841,0.7239,0.3477,0.7584,0.6665,0.6344,0.7092,0.7377,0.6873,0.5598,0.5733,0.3913,0.4296,0.5366,0.4831,0.3931,0.1433,0.5187,0.5166,0.5773,0.5076,0.4443,0.4958,0.6283,0.4263,0.6655,0.9939,0.5091,0.5107,0.3982,0.4963,0.3913,0.3158,0.7623,0.644,0.5064,0.4856,0.693,0.7443,0.5607,0.4011,0.6004,0.636,0.5495,0.8104,0.7272,0.493,0.2451,0.2203,0.5036,0.6442,0.6232,0.306,0.9074,0.6257,0.7529,0.6394,0.2116,0.3581,0.2711,0.8373,0.5552,0.5909,0.8199,0.5755,0.6448,0.6709,0.3573,0.6142,0.4007,0.3966,0.6726,0.7581,0.5656,0.5885,0.8226,0.6168,0.4815,0.6505,0.6564,0.4682,0.4724,0.7997,0.7858,0.3923,0.4386,0.3555,0.644,0.55,0.6227,0.6079,1.0287,0.5802,0.7309,0.3697]","[-0.54508,-0.40384,0.17476,0.87675,-0.37787,0.67229,0.0]",normal
0c02f680-2a71-42ec-906e-2ec118905b74,47.1,"[0.3577,0.3785,0.3928,0.3749,0.2615,0.3476,0.2688,0.3678,0.3236,0.419,0.4805,0.2152,0.7467,0.5293,0.3446,0.271,0.2563,0.4208,0.3819,0.1468,0.3266,0.3851,0.5513,0.5429,0.4145,0.6337,0.34,0.3778,0.2332,0.597,0.2103,0.8085,0.67,0.4732,0.4865,0.7556,0.3813,0.5166,0.4491,0.4508,0.446,0.2843,0.6856,0.5231,0.3375,0.3986,0.465,0.8437,0.2895,0.337,0.5147,0.5977,0.4599,0.4448,0.6655,0.4685,0.6551,0.3855,0.4816,0.3645,0.5945,0.4308,0.5661,0.166,0.6634,0.7002,0.367,0.5019,0.5948,0.3717,0.4046,0.4602,0.2955,0.8317,0.5836,0.5166,0.4152,0.7652,0.3774,0.3688,0.7902,0.4001,0.6289,0.314,0.3822,0.3598,1.0062,0.777,0.5277,0.649,0.4701,0.8382,0.5135,0.8782,0.289,0.4377,0.2419,0.5942,0.3275,0.1637]","[-0.12348,-0.33306,-0.27606,0.84384,-0.37787,1.4889,0.0]",normal
0d8f2871-d75e-47b4-be59-464b7137913a,49.53,"[0.3649,0.424,1.0075,0.2798,0.4247,0.3938,0.2762,0.3494,0.6267,0.2754,0.747,0.1734,0.3832,0.5703,0.2889,0.527,0.3813,0.4543,0.4649,0.389,0.578,0.4499,0.4621,0.4499,0.4687,0.4383,0.3012,0.306,0.534,0.4857,0.748,0.3428,0.7725,1.0117,0.3514,0.8289,0.4941,1.015,0.7827,0.4116,0.368,0.4351,0.7813,0.7455,0.3473,0.4819,0.3193,0.575,0.4183,0.3627,0.5614,0.4457,0.6165,0.3226,0.3319,0.4086,0.2209,0.352,0.759,0.7518,0.8945,0.3718,0.3932,0.435,0.6066,0.4461,0.3921,0.4101,0.6577,0.4377,0.3399,0.3036,0.1527,0.3467,0.4434,0.474,0.6064,0.7011,0.4715,0.5428,0.0959,0.3609,0.5429,0.473,0.4784,0.256,0.5065,0.5489,0.8791,0.4771,0.9438,0.4135,0.0827,0.777,0.5593,0.4681,0.9157,0.4363,1.0534,0.1911]","[-0.23595,-0.38615,-0.0055712,0.33624,-0.37787,1.2848,0.0]",normal
0f06f592-4342-4508-8e93-6ca4d2c6c4df,45.52,"[0.3752,0.4158,0.2746,0.2933,0.3314,0.5501,0.7079,0.2489,0.1368,0.4899,0.0958,0.7,0.3473,0.4235,0.2625,0.4077,0.5092,0.2224,0.6079,0.2317,0.1953,0.5017,0.2914,0.4248,0.3742,0.4978,0.4891,0.5799,0.8313,0.2191,0.2452,0.3926,0.3151,0.487,0.3537,0.4243,0.6096,0.4664,0.8608,0.2816,0.4023,0.315,0.4769,0.4276,0.3474,0.4902,0.5377,0.6229,0.5879,0.2997,0.2416,0.4046,0.4273,0.5611,0.412,0.2667,0.3586,0.5327,0.3,0.4483,0.4524,0.2071,0.494,0.6745,0.3805,0.5831,0.6404,0.6212,0.4612,0.5172,0.2154,0.3181,0.4276,0.6024,0.4957,0.4879,0.7462,0.2348,0.4812,0.5271,0.6195,0.4364,0.6136,0.2343,0.6794,0.4816,0.8289,0.8361,0.5823,0.5329,0.7491,0.5388,0.3497,0.4923,0.5138,0.3864,0.4485,0.8446,0.4403,0.4103]","[0.15397,-0.39499,0.03951,1.3105,-0.37787,1.0593,0.0]",normal
0fc2c5b4-b9a1-4b70-8bd2-d55fd8c8607c,122.05,"[0.4359,0.3949,0.9121,1.2475,0.72,0.9794,0.9319,0.4537,0.7648,0.6813,1.2878,0.6066,1.4454,0.3324,1.5529,0.9659,0.804,1.0001,0.9632,1.0105,1.1308,0.4106,0.9812,1.2881,1.3635,1.2421,1.1754,1.4267,1.2226,1.5019,1.341,1.1002,1.2335,1.5757,1.5307,1.1308,1.3774,1.312,1.2716,1.3251,1.1253,1.0164,1.3777,1.3757,1.5886,1.462,1.9136,1.0439,1.3435,1.5505,1.1884,1.6147,1.4469,0.8348,1.7229,1.4439,1.284,1.2329,1.6395,1.7158,1.5336,1.5248,1.4347,1.6255,1.3572,1.1194,1.1681,1.26,1.4381,1.5491,1.4716,1.888,1.1979,1.4965,1.2709,1.0502,1.3163,1.9269,1.4179,1.1428,1.4431,1.4029,1.0923,1.2155,1.1846,1.5642,1.439,1.5208,1.6499,1.2512,1.3308,1.122,1.7981,1.0933,1.295,1.2591,1.3751,0.1535,0.237,0.0764]","[-0.41109,-0.4525,-0.59163,0.10586,-0.37787,0.29445,0.0]",normal
13fe8261-b8f4-41cc-9358-77a367209800,51.54,"[0.0508,0.373,0.4307,0.2269,0.1225,0.7696,0.508,0.2121,0.6054,0.6736,0.5645,0.479,0.462,0.6549,0.5215,0.3046,0.7592,0.6003,0.5661,0.1005,0.4547,0.6117,0.2246,0.9258,0.521,0.645,0.4687,0.7535,0.7948,0.4503,0.3954,0.3792,0.4972,0.4943,0.3009,0.4798,0.6739,0.5878,0.6388,0.5007,0.3298,0.4475,0.2222,0.4851,0.7898,0.7169,0.7407,0.8224,0.9682,0.6276,0.7856,0.2046,0.8637,0.7974,0.227,0.094,0.8289,0.4851,0.8639,0.3594,0.5498,0.2825,0.5612,0.6715,0.4116,0.2265,0.7544,0.6863,0.7053,0.2446,0.6891,0.5207,0.4184,0.7532,0.9433,0.9655,0.3153,0.5856,0.3828,0.3855,0.3592,0.5569,0.3335,0.5523,0.4922,0.6875,0.3387,0.3421,0.6609,0.6443,0.4023,0.4131,0.6191,0.2521,0.4375,0.555,0.212,0.4526,0.4718,0.2592]","[-0.39839,-0.4525,0.21984,0.36831,-0.37787,0.85512,0.0]",normal
